,PT,CD-IC,Endo,DCT,CD-PC,LOH,Neutro,Macro,Podo
0,0.0005626818454324,1.43327773075164e-07,0.387140728004281,3.54796368492808e-07,0.0445071824099946,0.054266784350402,0.0131430570605648,0.476642092954984,0.0237369752501998
1,0.031134019080645,7.34700424052267e-08,0.358230687100319,6.20602309602805e-08,0.002088053530943,4.50942327724898e-07,0.0129925139424109,0.58209709738713,0.0134570424859509
2,0.0359952462303739,9.50065684669339e-08,0.28823043669907,1.87393136954518e-07,0.0151276011941143,0.0510955841304866,0.0108399234590677,0.589566669710005,0.0091442561771782
3,3.79708649875875e-08,0.0002289039158021,0.231824612239489,4.17585507185608e-07,0.0177752986089243,0.038091920024001,0.0234951617694536,0.66902825714507,0.0195553907408873
4,8.93490257591264e-08,0.0030829057343769,0.27947245164597,1.73579287300211e-07,0.0690106641756686,0.0308288710407331,0.0038423034230305,0.599647336848124,0.0141152042037843
5,0.253905503912547,1.02971831628169e-06,0.236168905240063,1.08351815349579e-07,0.0047904831016756,0.0059461054261452,0.0046382233218904,0.477877904790991,0.0166717361365566
6,6.06305135235964e-08,0.0452756679470853,0.128784267475842,0.437603147960308,2.78885658844685e-07,0.113668892407385,0.000322725765361,0.273192294342207,0.0011526645856396
7,0.047628413284537,1.39394529689624e-07,0.075817299143079,1.20293920505842e-07,0.0088797222302534,0.0107728823789727,0.0089241287656691,0.818382476076075,0.0295948184329638
8,9.29809394115393e-08,0.0339803437384888,0.438957169745827,2.28492824549685e-07,0.0569922227511432,0.060365925343344,0.0033181309887694,0.399785289691262,0.006600596267402
9,0.0903861380378355,1.252814505406e-07,0.141621624192736,9.86925581229111e-07,0.0530122724283343,0.103155822118913,0.0026464172191615,0.599601971842008,0.0095746419539796
