,Macro,CD-IC,DCT,Endo,CD-PC,LOH,Neutro,PT,Podo
0,0.0002112314657014,2.26426895003713e-05,0.357330756639882,1.14275128112645e-06,0.0382754759425771,0.0442870209406057,0.0122346730471328,0.534543182435238,0.0130938740880817
1,0.0238704779287912,4.26420097091638e-07,0.326076049559846,1.34214933788874e-07,2.43774897912495e-07,1.90391018709007e-07,0.0105766888292092,0.633089035144136,0.0063867537370703
2,0.0346814066610573,2.24869041982327e-07,0.238094148459344,2.21250519949231e-07,0.0028517776869641,0.0436448449691983,0.0105744053563122,0.663118563471635,0.0070344072759268
3,5.54271152396567e-08,3.43265784578557e-05,0.186801484004133,6.43516242090216e-07,0.0128646653976966,0.02029150171232,0.0316409717004071,0.738757579824535,0.0096087718390934
4,1.0453525905102e-07,0.0053522132838578,0.239161252109922,4.24802786371378e-07,0.0488972879772562,0.0167177146433181,0.0028650087716765,0.677487094414546,0.0095188994613789
5,0.267784912754038,0.001788199873882,0.202219129113827,2.75361302265319e-07,3.40695466504658e-07,5.80363338870314e-07,0.0054579784263123,0.509277939767644,0.0134706436441882
6,1.10859185355832e-07,0.0490394114001736,0.121011534036556,0.337206293277127,0.0058443431583325,0.156521021144254,0.0001187711313891,0.328734547555677,0.001523967437305
7,0.0466467393873482,2.27670698240692e-06,0.0430028563235795,2.39406157943379e-07,0.0055928306721552,0.0058099602721328,0.0116646107634445,0.871856728863787,0.0154237576044131
8,9.58476535458739e-08,0.0373772626577691,0.419315023293109,0.0010904156138798,0.0271030341033127,0.0646932467019655,0.0010440338037673,0.443889220846737,0.0054876671318052
9,0.100872219027026,4.8058994903597e-07,0.10298043267427,0.0042639602280429,0.0092740902371234,0.123006964610735,0.0027906827848198,0.652703432562687,0.0041077372853463
