,PT,DCT,CD-PC,LOH,Endo,CD-IC,Neutro,Macro,Podo
0,1.20862349367687e-07,3.38501486955869e-07,0.0088995761000193,0.0083418206404115,0.556917605542792,1.72058751080954e-07,0.0168319189312765,0.409008251908259,1.95454653659242e-07
1,0.0004555783147034,4.73247753920197e-08,7.3268409623641e-08,4.55618393123583e-08,0.426186007558627,4.4209686638714e-08,0.0068111435297642,0.566114360620295,0.0004326996118995
2,0.0062685187487858,1.03880006846442e-07,0.0038026557495964,0.0109938637872164,0.413870124219207,1.33041866871737e-07,0.0155839451604874,0.549480507108098,1.48304734659322e-07
3,3.08017150815832e-08,1.49652620496445e-07,0.012108412791094,0.0015155360856513,0.357940306188102,1.12232135420656e-07,0.0492126679629129,0.579222583987022,2.00298745850787e-07
4,3.42615165959964e-08,2.18241106290317e-07,0.0317606777171159,1.26323206983812e-06,0.429329289649825,4.35612781694711e-07,0.0073579731793669,0.531549979934322,1.28171896086313e-07
5,0.264524468666155,8.57522582008463e-08,1.34660746365051e-07,1.45214194982211e-07,0.253256304875418,1.59279530375682e-07,0.0072082434827839,0.434503808467379,0.0405066496015341
6,5.27169819308789e-08,0.274233075992237,0.00610415267607,0.166377072113742,0.186339523675221,0.175550020010596,0.0184296789438527,0.172966328950232,9.4921067263299e-08
7,0.0037388961281808,7.40722513559988e-08,0.0069215785655824,1.41037786540617e-07,0.172526591386723,1.01566198299396e-07,0.0423750103694029,0.740535110267504,0.0339024966063708
8,7.82609739853236e-08,8.92984506379173e-07,0.0189581713719758,0.0203099934335082,0.62213715378995,0.0135278652496756,0.0065855154804383,0.318480258728729,7.07002425999434e-08
9,0.0254811376461298,2.79941289775207e-07,0.0469652628792108,0.0782546905271357,0.241535953576876,2.1393445938916e-07,0.0122234055380657,0.590036120471633,0.0055029354851993
