Mixture,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.0,0.0440351175603015,0.0199355430992181,0.750378278009447,0.109414053675809,0.0,0.0040228314121946,0.0105885230592185,0.0387188045821134
GSM2154806,0.0024896459159814,0.177534706463356,0.0189923374510249,0.61911133261117,0.109492789151215,0.0005863246888778,7.8402997602853e-05,0.028753449965797,0.0279832947569774
GSM2154808,0.0135010194683341,0.194130544262145,0.0186232362342378,0.663003431737259,0.0358472479235061,0.0042052803539817,0.0036944014509405,0.0242352262124188,0.0316642352545649
GSM2154801,0.015341956347063,0.0807730384658866,0.0823236928646192,0.275634789649576,0.184606042704792,0.0084668573927735,0.0035660499678973,0.0553395005120779,0.0991153181683108
GSM2154807,0.0022073090919341,0.153284049022661,0.0386879422637701,0.667657176225884,0.0613425187708872,2.65137285639822e-05,0.0030746314998689,0.0191713609668682,0.0333853155996211
GSM2154802,0.0262741098476247,0.0850711101404954,0.0323707840133819,0.501832587348203,0.140734036776981,0.0055379807512219,0.0009786093602862,0.0268623960805118,0.0788994555001058
GSM2154805,0.0,0.0928124272713965,0.0188760597709514,0.758801674252703,0.0698772602806926,0.0003998360816953,0.0038271126276427,0.018232526559958,0.0200072978552411
GSM2154804,0.0,0.0959936876602615,0.0087081009911926,0.759995233042133,0.0732287582070867,0.002553047978948,4.07785966529871e-05,0.0108303586763706,0.0309864640738629
GSM2154800,0.0170158926240296,0.147340310581283,0.0556272429301605,0.374305211519492,0.0751667941483909,0.0097724850342646,0.0011052135655303,0.053852057849684,0.104200551010095
GSM2154803,0.0141602168418351,0.0265461079486019,0.118072123875798,0.453100987046821,0.181129619853046,0.0,0.0,0.0377911109130112,0.113022139579356
