"","alpha","beta","gamma","delta"
"Sub1",0.55083810636852,0.422113922103344,0.00918731734275192,0.0178606541853834
"Sub2",0.723672327557146,0.261857685815401,0.0057032889861715,0.00876669764128235
"Sub3",0.513635390947698,0.359067565635056,0.00404036954904682,0.123256673868199
"Sub4",0.428842637427464,0.39093334702849,0.149873081753742,0.0303509337903035
"Sub5",0.430462415479057,0.491306504528262,0.0409050960476874,0.037325983944994
"Sub6",0.487950024343821,0.492074398218263,0.00413898670877506,0.0158365907291409
"Sub7",0.580239594089717,0.384185627366274,0.00370484820729265,0.0318699303367163
"Sub8",0.342395334839069,0.548136653412517,0.0293147027352995,0.0801533090131147
"Sub9",0.307591558271548,0.550835909467388,0.0722301984100957,0.0693423338509684
"Sub10",0.485233014148075,0.466263146394872,0.0194358307271883,0.0290680087298649
"Sub11",0.141642651350069,0.805657419338187,0.00297073096632333,0.0497291983454213
"Sub12",0.472663374608725,0.424095396805796,0.0589997378004179,0.0442414907850608
"Sub13",0.350733796355359,0.479158277436106,0.0996902084270448,0.0704177177814898
"Sub14",0.326290862675608,0.584877066152049,0.0577066014328673,0.0311254697394757
"Sub15",0.788975516352735,0.162846634960764,0,0.0481778486865013
"Sub16",0.396537551320852,0.504370489983027,0.0301320869526778,0.0689598717434433
"Sub17",0.427703901665745,0.405984783352627,0.01361393274416,0.152697382237469
"Sub18",0.438823567997194,0.487268106863269,0.0140358196752166,0.0598725054643205
"Sub19",0.561434324853558,0.356098151600686,0.0244929238977394,0.0579745996480162
"Sub20",0.672000897565449,0.269141634048891,0.00339837956628077,0.0554590888193789
"Sub21",0.636290505410655,0.257003612405351,0,0.106705882183994
"Sub22",0.61351776911764,0.364078761654538,0.00839292118078225,0.0140105480470399
"Sub23",0.497648998214918,0.391298851124784,0.0281383341117977,0.0829138165485005
"Sub24",0.351139940592596,0.440481138697735,0.0612511414051984,0.14712777930447
"Sub25",0.467229916938858,0.44161078151196,0.0208673596769805,0.0702919418722007
"Sub26",0.607107686965192,0.367786721406306,0.00425795457767517,0.0208476370508271
"Sub27",0.515131680578174,0.436628727273414,0.00225331442962805,0.0459862777187836
"Sub28",0.888127310812686,0.103184694956349,0,0.00868799423096446
"Sub29",0.665868336379644,0.210903928294586,0.00821519545143818,0.115012539874331
"Sub30",0.740964905492505,0.230424380590181,0.00198081450218154,0.026629899415133
"Sub31",0.564900837931,0.415750223462417,0.00330040656198859,0.016048532044594
"Sub32",0.634821038039131,0.299421219893668,0.011176841742598,0.0545809003246029
"Sub33",0.64246735354451,0.269735881343794,0.00966914626761925,0.078127618844076
"Sub34",0.624379452089067,0.31347532473695,0.00335157533997079,0.0587936478340124
"Sub35",0.279352125223051,0.506434345235795,0.141516906308848,0.0726966232323067
"Sub36",0.624352804996356,0.203201475351756,0.0107035806735372,0.161742138978351
"Sub37",0.731595738954618,0.207661539803715,0.00593605237099131,0.0548066688706751
"Sub38",0.625609115730693,0.235895051281478,0.0499327908083059,0.0885630421795228
"Sub39",0.246665231338407,0.547908639777996,0.131558318112495,0.0738678107711011
"Sub40",0.299978795436918,0.601561437637859,0.0227839460103835,0.0756758209148399
"Sub41",0.638364554611435,0.26130794902808,0.00479752203118641,0.0955299743292991
"Sub42",0.508081020958241,0.324366012243069,0.0134273096391218,0.154125657159568
"Sub43",0.596205317286671,0.364468351642348,0.00584515678705035,0.0334811742839311
"Sub44",0.44306619744776,0.413989007162813,0.0030375953047619,0.139907200084665
"Sub45",0.560868214612814,0.354085217166158,0.0270077116298398,0.0580388565911877
"Sub46",0.524823793529285,0.43315610245222,0.0106218063854836,0.0313982976330114
"Sub47",0.4409964006296,0.459356446148723,0.0319562836747442,0.0676908695469328
"Sub48",0.616198471016777,0.221502406365452,0.108852489200036,0.0534466334177356
"Sub49",0.915232221252296,0.0567763916281073,0.00391214885554108,0.0240792382640552
"Sub50",0.585300757971548,0.393446772016259,0.00484537024508102,0.0164070997671119
"Sub51",0.537269814861293,0.420119846098795,0.00803394008148621,0.0345763989584251
"Sub52",0.372054950862591,0.385222180378725,0.0134377849729926,0.229285083785692
"Sub53",0.426958834502994,0.428374600600578,0.101637785673843,0.0430287792225848
"Sub54",0.612122910186823,0.337994891119099,0.0116606185248825,0.0382215801691955
"Sub55",0.290611239475753,0.490257935329071,0.174560114630577,0.0445707105645993
"Sub56",0.305146167016061,0.652575342582123,0.0152848603473591,0.0269936300544562
"Sub57",0.64494754107619,0.335532989091711,0.00436072593126324,0.0151587439008363
"Sub58",0.37989368612485,0.465810360773437,0.0346558654350509,0.119640087666663
"Sub59",0.544306620718517,0.37654030128404,0.030622397736875,0.0485306802605676
"Sub60",0.496876064787482,0.294246955138413,0.00594236577498757,0.202934614299117
"Sub61",0.483093934133674,0.426371627907604,0.0247874739783722,0.0657469639803502
"Sub62",0.775172995263565,0.182819869894183,0.0102295885504928,0.0317775462917591
"Sub63",0.784094066595338,0.191181617613329,0,0.0247243157913331
"Sub64",0.649724600034147,0.319997013485505,0.00597720823774492,0.024301178242603
"Sub65",0.405826887474471,0.258295907646014,0.305080947378856,0.0307962575006593
"Sub66",0.174530712906817,0.648041076266509,0.0773021796130785,0.100126031213596
"Sub67",0.366837914474718,0.483751229031897,0.0895789485113557,0.0598319079820289
"Sub68",0.406170529274319,0.490344790872443,0.022403444065132,0.0810812357881056
"Sub69",0.6546202430424,0.254375358755274,0.00438571283079016,0.086618685371536
"Sub70",0.662358131666053,0.313374145308991,0.00859639083280324,0.0156713321921524
"Sub71",0.755709438760601,0.213278485645145,0.00395481841006276,0.0270572571841914
"Sub72",0.391711164258864,0.571979203620289,0.0118530577349927,0.0244565743858544
"Sub73",0.728409654942049,0.243771071796057,0.00962445484250062,0.0181948184193942
"Sub74",0.611184616614259,0.308098451851293,0.0363788155252083,0.0443381160092404
"Sub75",0.408116421946285,0.476383756055679,0.0976457516629712,0.0178540703350652
"Sub76",0.541961416787712,0.347931172715386,0.0168470224204645,0.093260388076437
"Sub77",0.537176111607727,0.354814603119323,0.00759709105963645,0.100412194213314
"Sub78",0.56844855429517,0.374582501234024,0.0110791955099697,0.0458897489608361
"Sub79",0.644493484146753,0.322377660650271,0,0.0331288552029759
"Sub80",0.609472382732324,0.316365727405133,0.00230305215567514,0.0718588377068679
"Sub81",0.474396807422615,0.489168403884189,0.00553517774080577,0.0308996109523902
"Sub82",0.218906675605202,0.639045513162766,0.0650155613643938,0.0770322498676383
"Sub83",0.375856985657392,0.367857819003511,0.0619070344131468,0.19437816092595
"Sub84",0.396687003713225,0.519618911020779,0.00831659407287938,0.0753774911931169
"Sub85",0.55973762486269,0.411629114457124,0.00892375453052628,0.0197095061496595
"Sub86",0.642345328764573,0.331976197067264,0.0035448899345499,0.022133584233613
"Sub87",0.490451884497412,0.311617350831171,0.121170394607054,0.0767603700643633
"Sub88",0.617346041200273,0.271743256042117,0.0642004924863135,0.0467102102712962
"Sub89",0.61340682105452,0.322509283662193,0.0190722745702921,0.0450116207129946
