,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.0445417,0.016386362,0.06326302,0.463560285,0.10603099,0.035934955,0.021326398,0.050287575,0.11371531
GSM2154806,0.04763515,0.017811576,0.054827616,0.47282635500000003,0.09815577,0.03850576,0.01936047,0.05483069,0.11497265
GSM2154808,0.0602826,0.019739076,0.056300584,0.474444604,0.07816222,0.041177075,0.022990288,0.059414763,0.10093939
GSM2154801,0.10043282,0.01300935,0.07300862,0.320552543,0.11018631,0.03721739,0.020984607,0.055614576,0.12950648
GSM2154807,0.054416608,0.01640637,0.067902714,0.44191674000000003,0.105760485,0.038614128,0.022672532,0.0599054,0.10867112
GSM2154802,0.08372923,0.015568551,0.06881013,0.388180745,0.08801154,0.038068943,0.023188872,0.055647433,0.1212621
GSM2154805,0.041367188,0.017578254,0.05791897,0.486905252,0.10455203,0.035132352,0.020910064,0.05285683,0.09796236
GSM2154804,0.042967875,0.017584324,0.051916394,0.477531379,0.09716519,0.035807773,0.020789372,0.053600237,0.11508129
GSM2154800,0.09522378,0.01232525,0.06449393,0.361577967,0.08876884,0.038225252,0.021756155,0.049926993,0.13227785
GSM2154803,0.068329625,0.011119504,0.08747643,0.381179033,0.120554306,0.03308433,0.017658643,0.055520933,0.12721571
